date,latitude (N),longitude (E),precip per hour (mm/hr),total precip (mm/day)
2022-05-01,48.5,-121.5,0.00423645,0.101674788
2022-05-02,48.5,-121.5,0.15399665,3.6959196
2022-05-03,48.5,-121.5,0.10995348,2.63888352
2022-05-04,48.5,-121.5,0.002649029,0.063576691
2022-05-05,48.5,-121.5,0.33228886,7.97493264
2022-05-06,48.5,-121.5,0.7576603,18.1838472
2022-05-07,48.5,-121.5,0.73427194,17.62252656
2022-05-08,48.5,-121.5,0.2543586,6.1046064
2022-05-09,48.5,-121.5,0.1415059,3.3961416
2022-05-10,48.5,-121.5,0.08874416,2.12985984
2022-05-11,48.5,-121.5,0.004028082,0.096673968
2022-05-12,48.5,-121.5,0.08292332,1.99015968
2022-05-13,48.5,-121.5,0.55549014,13.33176336
2022-05-14,48.5,-121.5,0.1262351,3.0296424
2022-05-15,48.5,-121.5,0.36048293,8.65159032
2022-05-16,48.5,-121.5,0.79172736,19.00145664
2022-05-17,48.5,-121.5,0.22883183,5.49196392
2022-05-18,48.5,-121.5,0.67997205,16.3193292
2022-05-19,48.5,-121.5,0.9954825,23.89158
2022-05-20,48.5,-121.5,0.005990267,0.143766408
2022-05-21,48.5,-121.5,0.000464121,0.011138915
2022-05-22,48.5,-121.5,0.000121196,0.002908707
2022-05-23,48.5,-121.5,0.052330792,1.255939008
2022-05-24,48.5,-121.5,0.042443722,1.018649328
2022-05-25,48.5,-121.5,0.23125197,5.55004728
2022-05-26,48.5,-121.5,0.0765421,1.8370104
2022-05-27,48.5,-121.5,0.9076056,21.7825344
2022-05-28,48.5,-121.5,0.56856555,13.6455732
2022-05-29,48.5,-121.5,0.32632998,7.83191952
2022-05-30,48.5,-121.5,0.12779336,3.06704064
2022-05-31,48.5,-121.5,0.005388657,0.129327768
2022-06-01,48.5,-121.5,0.003734479,0.089627506
2022-06-02,48.5,-121.5,0.054683387,1.312401288
2022-06-03,48.5,-121.5,0.45688114,10.96514736
2022-06-04,48.5,-121.5,0.051164925,1.2279582
2022-06-05,48.5,-121.5,0.5602465,13.445916
2022-06-06,48.5,-121.5,0.5394056,12.9457344
2022-06-07,48.5,-121.5,0.010268589,0.246446136
2022-06-08,48.5,-121.5,0.19475299,4.67407176
2022-06-09,48.5,-121.5,0.059680592,1.432334208
2022-06-10,48.5,-121.5,1.714639,41.151336
2022-06-11,48.5,-121.5,0.46002164,11.04051936
2022-06-12,48.5,-121.5,0.22204767,5.32914408
2022-06-13,48.5,-121.5,0.6406751,15.3762024
2022-06-14,48.5,-121.5,0.53390586,12.81374064
2022-06-15,48.5,-121.5,0.001404882,0.033717158
2022-06-16,48.5,-121.5,0.08202151,1.96851624
2022-06-17,48.5,-121.5,0.0656427,1.5754248
2022-06-18,48.5,-121.5,0.3785603,9.0854472
2022-06-19,48.5,-121.5,0.14128877,3.39093048
2022-06-20,48.5,-121.5,0.07932514,1.90380336
2022-06-21,48.5,-121.5,0.00E+00,0
2022-06-22,48.5,-121.5,0.29017806,6.96427344
2022-06-23,48.5,-121.5,0.06547833,1.57147992
2022-06-24,48.5,-121.5,3.96E-05,0.00095129
2022-06-25,48.5,-121.5,0,0
2022-06-26,48.5,-121.5,0.00E+00,0
2022-06-27,48.5,-121.5,0.00E+00,0
2022-06-28,48.5,-121.5,8.05E-06,0.000193119
2022-06-29,48.5,-121.5,0.4184265,10.042236
2022-06-30,48.5,-121.5,0.04772787,1.14546888
2022-07-01,48.5,-121.5,0.002518893,0.06045342
2022-07-02,48.5,-121.5,7.40E-06,0.000177622
2022-07-03,48.5,-121.5,0.13081104,3.13946496
2022-07-04,48.5,-121.5,0.14853765,3.5649036
2022-07-05,48.5,-121.5,0.030713333,0.737119992
2022-07-06,48.5,-121.5,0.05420605,1.3009452
2022-07-07,48.5,-121.5,0.046562754,1.117506096
2022-07-08,48.5,-121.5,0.029155266,0.699726384
2022-07-09,48.5,-121.5,0.013838907,0.332133768
2022-07-10,48.5,-121.5,0.050671298,1.216111152
2022-07-11,48.5,-121.5,0.000207275,0.004974604
2022-07-12,48.5,-121.5,5.43E-05,0.001302958
2022-07-13,48.5,-121.5,0.000204494,0.004907846
2022-07-14,48.5,-121.5,0.011636168,0.279268032
2022-07-15,48.5,-121.5,0.00E+00,0
2022-07-16,48.5,-121.5,0.05670006,1.36080144
2022-07-17,48.5,-121.5,0.045092158,1.082211792
2022-07-18,48.5,-121.5,0.19719824,4.73275776
2022-07-19,48.5,-121.5,0.005154609,0.123710616
2022-07-20,48.5,-121.5,0.00E+00,0
2022-07-21,48.5,-121.5,0.00E+00,0
2022-07-22,48.5,-121.5,0.007501493,0.180035825
2022-07-23,48.5,-121.5,0.004530947,0.108742721
2022-07-24,48.5,-121.5,0.000134756,0.003234148
2022-07-25,48.5,-121.5,2.63E-05,0.000631809
2022-07-26,48.5,-121.5,0.00E+00,0
2022-07-27,48.5,-121.5,4.18E-05,0.00100255
2022-07-28,48.5,-121.5,0.00E+00,0
2022-07-29,48.5,-121.5,0.00E+00,0
2022-07-30,48.5,-121.5,7.80E-06,0.000187159
2022-07-31,48.5,-121.5,0.00E+00,0
2022-08-01,48.5,-121.5,6.16E-05,0.001479387
2022-08-02,48.5,-121.5,0.000133216,0.003197193
2022-08-03,48.5,-121.5,0.00E+00,0
2022-08-04,48.5,-121.5,0.22343288,5.36238912
2022-08-05,48.5,-121.5,0.002870659,0.068895816
2022-08-06,48.5,-121.5,3.05E-05,0.000733137
2022-08-07,48.5,-121.5,3.49E-05,0.000838041
2022-08-08,48.5,-121.5,0.00E+00,0
2022-08-09,48.5,-121.5,6.96E-05,0.001671314
2022-08-10,48.5,-121.5,0.000625203,0.015004872
2022-08-11,48.5,-121.5,0.008930564,0.214333536
2022-08-12,48.5,-121.5,0.000636528,0.01527667
2022-08-13,48.5,-121.5,0.024917621,0.598022904
2022-08-14,48.5,-121.5,0.011560123,0.27744294
2022-08-15,48.5,-121.5,1.05E-05,0.000252724
2022-08-16,48.5,-121.5,1.89E-06,4.52995E-05
2022-08-17,48.5,-121.5,1.53E-05,0.000368357
2022-08-18,48.5,-121.5,0.00E+00,0
2022-08-19,48.5,-121.5,0.1560913,3.7461912
2022-08-20,48.5,-121.5,0.073309295,1.75942308
2022-08-21,48.5,-121.5,0.012109677,0.290632248
2022-08-22,48.5,-121.5,0.00E+00,0
2022-08-23,48.5,-121.5,0,0
2022-08-24,48.5,-121.5,0.00E+00,0
2022-08-25,48.5,-121.5,0.000127653,0.003063679
2022-08-26,48.5,-121.5,0.041657142,0.999771408
2022-08-27,48.5,-121.5,0.2685685,6.445644
2022-08-28,48.5,-121.5,0.058912683,1.413904392
2022-08-29,48.5,-121.5,0.00E+00,0
2022-08-30,48.5,-121.5,3.33E-05,0.000798702
2022-08-31,48.5,-121.5,0,0
2022-09-01,48.5,-121.5,0.00E+00,0
2022-09-02,48.5,-121.5,0.00E+00,0
2022-09-03,48.5,-121.5,3.29E-05,0.000789166
2022-09-04,48.5,-121.5,0.003618052,0.086833236
2022-09-05,48.5,-121.5,0.13978283,3.35478792
2022-09-06,48.5,-121.5,3.16E-05,0.000758171
2022-09-07,48.5,-121.5,4.97E-05,0.001192093
2022-09-08,48.5,-121.5,0.00E+00,0
2022-09-09,48.5,-121.5,3.46E-05,0.000829697
2022-09-10,48.5,-121.5,0,0
2022-09-11,48.5,-121.5,0.023403516,0.561684384
2022-09-12,48.5,-121.5,0.002962351,0.071096414
2022-09-13,48.5,-121.5,0.016755959,0.402143016
2022-09-14,48.5,-121.5,0.0606896,1.4565504
2022-09-15,48.5,-121.5,0.000859002,0.020616056
2022-09-16,48.5,-121.5,0.19704549,4.72909176
2022-09-17,48.5,-121.5,0.061321013,1.471704312
2022-09-18,48.5,-121.5,0.00E+00,0
2022-09-19,48.5,-121.5,0.00E+00,0
2022-09-20,48.5,-121.5,0,0
2022-09-21,48.5,-121.5,0.00E+00,0
2022-09-22,48.5,-121.5,2.27E-05,0.000544786
2022-09-23,48.5,-121.5,0.045622688,1.094944512
2022-09-24,48.5,-121.5,0.002436439,0.058474536
2022-09-25,48.5,-121.5,1.15E-05,0.000276565
2022-09-26,48.5,-121.5,3.14E-05,0.000753403
2022-09-27,48.5,-121.5,3.48E-05,0.000834465
2022-09-28,48.5,-121.5,0.00E+00,0
2022-09-29,48.5,-121.5,0.112311244,2.695469856
2022-09-30,48.5,-121.5,0.038454536,0.922908864
2022-10-01,48.5,-121.5,0.00E+00,0
2022-10-02,48.5,-121.5,0.000106146,0.002547503
2022-10-03,48.5,-121.5,5.65E-05,0.00135541
2022-10-04,48.5,-121.5,0.00E+00,0
2022-10-05,48.5,-121.5,0.00E+00,0
2022-10-06,48.5,-121.5,0.00E+00,0
2022-10-07,48.5,-121.5,0.00E+00,0
2022-10-08,48.5,-121.5,0.00E+00,0
2022-10-09,48.5,-121.5,7.35E-06,0.00017643
2022-10-10,48.5,-121.5,0.00E+00,0
2022-10-11,48.5,-121.5,0.027451515,0.65883636
2022-10-12,48.5,-121.5,6.75E-05,0.001618862
2022-10-13,48.5,-121.5,0.00E+00,0
2022-10-14,48.5,-121.5,4.42E-05,0.001059771
2022-10-15,48.5,-121.5,2.39E-05,0.000573397
2022-10-16,48.5,-121.5,3.77E-05,0.000904799
2022-10-17,48.5,-121.5,4.12E-05,0.000988245
2022-10-18,48.5,-121.5,0.00E+00,0
2022-10-19,48.5,-121.5,1.25E-05,0.000300407
2022-10-20,48.5,-121.5,0.001211762,0.029082298
2022-10-21,48.5,-121.5,0.12356277,2.96550648
2022-10-22,48.5,-121.5,0.4007968,9.6191232
2022-10-23,48.5,-121.5,0.000772278,0.01853466
2022-10-24,48.5,-121.5,0.61660564,14.79853536
2022-10-25,48.5,-121.5,0.6317814,15.1627536
2022-10-26,48.5,-121.5,1.0645053,25.5481272
2022-10-27,48.5,-121.5,0.40906173,9.81748152
2022-10-28,48.5,-121.5,1.3099575,31.43898
2022-10-29,48.5,-121.5,0.000139823,0.003355742
2022-10-30,48.5,-121.5,0.2107797,5.0587128
2022-10-31,48.5,-121.5,3.0776634,73.8639216
2023-05-01,48.5,-121.5,0.01468653,0.35247672
2023-05-02,48.5,-121.5,0.0251172,0.6028128
2023-05-03,48.5,-121.5,0.00962983,0.23111592
2023-05-04,48.5,-121.5,0.00555168,0.13324032
2023-05-05,48.5,-121.5,0.53645086,12.87482064
2023-05-06,48.5,-121.5,0.25013268,6.00318432
2023-05-07,48.5,-121.5,0.18125415,4.3500996
2023-05-08,48.5,-121.5,0.00185281,0.04446744
2023-05-09,48.5,-121.5,0.00366002,0.08784048
2023-05-10,48.5,-121.5,0.00028938,0.00694512
2023-05-11,48.5,-121.5,0.00E+00,0
2023-05-12,48.5,-121.5,3.02E-05,0.0007248
2023-05-13,48.5,-121.5,4.52E-05,0.0010848
2023-05-14,48.5,-121.5,0.00E+00,0
2023-05-15,48.5,-121.5,0.00E+00,0
2023-05-16,48.5,-121.5,0.12159089,2.91818136
2023-05-17,48.5,-121.5,3.28E-05,0.0007872
2023-05-18,48.5,-121.5,0.04501775,1.080426
2023-05-19,48.5,-121.5,0.00E+00,0
2023-05-20,48.5,-121.5,0.0460876,1.1061024
2023-05-21,48.5,-121.5,0.1128616,2.7086784
2023-05-22,48.5,-121.5,0.01385719,0.33257256
2023-05-23,48.5,-121.5,0.18408263,4.41798312
2023-05-24,48.5,-121.5,0.02151688,0.51640512
2023-05-25,48.5,-121.5,0.00994479,0.23867496
2023-05-26,48.5,-121.5,0.01146823,0.27523752
2023-05-27,48.5,-121.5,1.61E-05,0.0003864
2023-05-28,48.5,-121.5,0.00988295,0.2371908
2023-05-29,48.5,-121.5,0.00189667,0.04552008
2023-05-30,48.5,-121.5,0.00289063,0.06937512
2023-05-31,48.5,-121.5,0.00480657,0.11535768
2023-06-01,48.5,-121.5,0.017044047,0.409057128
2023-06-02,48.5,-121.5,6.15E-05,0.001475811
2023-06-03,48.5,-121.5,6.52E-05,0.001564026
2023-06-04,48.5,-121.5,0.00E+00,0
2023-06-05,48.5,-121.5,0.00E+00,0
2023-06-06,48.5,-121.5,0.00E+00,0
2023-06-07,48.5,-121.5,0.00E+00,0
2023-06-08,48.5,-121.5,0.00E+00,0
2023-06-09,48.5,-121.5,0.28766778,6.90402672
2023-06-10,48.5,-121.5,0.26476696,6.35440704
2023-06-11,48.5,-121.5,0.008678138,0.208275312
2023-06-12,48.5,-121.5,0.002929072,0.070297728
2023-06-13,48.5,-121.5,0.017004114,0.408098736
2023-06-14,48.5,-121.5,0.4002675,9.60642
2023-06-15,48.5,-121.5,0.04156177,0.99748248
2023-06-16,48.5,-121.5,0.010632277,0.255174648
2023-06-17,48.5,-121.5,0.2897851,6.9548424
2023-06-18,48.5,-121.5,0.1578513,3.7884312
2023-06-19,48.5,-121.5,0.04192909,1.00629816
2023-06-20,48.5,-121.5,0.39043224,9.37037376
2023-06-21,48.5,-121.5,0.14577001,3.49848024
2023-06-22,48.5,-121.5,0.002306004,0.055344103
2023-06-23,48.5,-121.5,9.64E-06,0.000231266
2023-06-24,48.5,-121.5,0.003042221,0.073013304
2023-06-25,48.5,-121.5,7.79E-05,0.001870394
2023-06-26,48.5,-121.5,0.00E+00,0
2023-06-27,48.5,-121.5,0.011812846,0.283508304
2023-06-28,48.5,-121.5,0.002825161,0.067803864
2023-06-29,48.5,-121.5,4.68E-05,0.001122952
2023-06-30,48.5,-121.5,0.00E+00,0
2023-07-01,48.5,-121.5,0.00E+00,0
2023-07-02,48.5,-121.5,4.04E-05,0.000969172
2023-07-03,48.5,-121.5,2.17E-05,0.000520945
2023-07-04,48.5,-121.5,0.00E+00,0
2023-07-05,48.5,-121.5,9.54E-06,0.000228882
2023-07-06,48.5,-121.5,0.00E+00,0
2023-07-07,48.5,-121.5,0.00E+00,0
2023-07-08,48.5,-121.5,0.049108613,1.178606712
2023-07-09,48.5,-121.5,0,0
2023-07-10,48.5,-121.5,0.006290475,0.15097141
2023-07-11,48.5,-121.5,0.03348291,0.80358984
2023-07-12,48.5,-121.5,0.003451953,0.082846877
2023-07-13,48.5,-121.5,0,0
2023-07-14,48.5,-121.5,0.00E+00,0
2023-07-15,48.5,-121.5,0.00E+00,0
2023-07-16,48.5,-121.5,2.55E-05,0.000611544
2023-07-17,48.5,-121.5,0.1896908,4.5525792
2023-07-18,48.5,-121.5,0.022237401,0.533697624
2023-07-19,48.5,-121.5,0.00E+00,0
2023-07-20,48.5,-121.5,0.00326554,0.07837295
2023-07-21,48.5,-121.5,1.69E-06,4.05311E-05
2023-07-22,48.5,-121.5,0.00E+00,0
2023-07-23,48.5,-121.5,0.00E+00,0
2023-07-24,48.5,-121.5,0.066621505,1.59891612
2023-07-25,48.5,-121.5,0.51973677,12.47368248
2023-07-26,48.5,-121.5,0.023715297,0.569167128
2023-07-27,48.5,-121.5,0.00E+00,0
2023-07-28,48.5,-121.5,0,0
2023-07-29,48.5,-121.5,0.00E+00,0
2023-07-30,48.5,-121.5,0.021218112,0.509234688
2023-07-31,48.5,-121.5,2.01E-05,0.000482798
2023-08-01,48.5,-121.5,0.00E+00,0
2023-08-02,48.5,-121.5,6.95E-07,1.66892E-05
2023-08-03,48.5,-121.5,0.00E+00,0
2023-08-04,48.5,-121.5,0.00E+00,0
2023-08-05,48.5,-121.5,0.010523946,0.252574704
2023-08-06,48.5,-121.5,0.011044243,0.265061832
2023-08-07,48.5,-121.5,0.01417915,0.3402996
2023-08-08,48.5,-121.5,0.05009259,1.20222216
2023-08-09,48.5,-121.5,0.028552908,0.685269792
2023-08-10,48.5,-121.5,0.18337737,4.40105688
2023-08-11,48.5,-121.5,0.007272214,0.174533129
2023-08-12,48.5,-121.5,0.002292594,0.055022244
2023-08-13,48.5,-121.5,0.00E+00,0
2023-08-14,48.5,-121.5,5.43E-05,0.001302957
2023-08-15,48.5,-121.5,0.00E+00,0
2023-08-16,48.5,-121.5,8.94E-07,2.14577E-05
2023-08-17,48.5,-121.5,0.00E+00,0
2023-08-18,48.5,-121.5,0.005511344,0.132272244
2023-08-19,48.5,-121.5,0.008563251,0.205518024
2023-08-20,48.5,-121.5,0.00E+00,0
2023-08-21,48.5,-121.5,0.00E+00,0
2023-08-22,48.5,-121.5,0.030828765,0.73989036
2023-08-23,48.5,-121.5,0.07034486,1.68827664
2023-08-24,48.5,-121.5,0.00E+00,0
2023-08-25,48.5,-121.5,3.25E-05,0.000780821
2023-08-26,48.5,-121.5,0.008436342,0.202472208
2023-08-27,48.5,-121.5,2.57E-05,0.000617504
2023-08-28,48.5,-121.5,0.00E+00,0
2023-08-29,48.5,-121.5,0.2388072,5.7313728
2023-08-30,48.5,-121.5,0.7881213,18.9149112
2023-08-31,48.5,-121.5,0.09168972,2.20055328
2023-09-01,48.5,-121.5,0.016124645,0.38699148
2023-09-02,48.5,-121.5,9.48E-05,0.002274513
2023-09-03,48.5,-121.5,7.26E-05,0.001741648
2023-09-04,48.5,-121.5,0.4641026,11.1384624
2023-09-05,48.5,-121.5,0.02413119,0.57914856
2023-09-06,48.5,-121.5,0.00737071,0.17689704
2023-09-07,48.5,-121.5,0.021624964,0.518999136
2023-09-08,48.5,-121.5,0.011638602,0.279326448
2023-09-09,48.5,-121.5,0.00E+00,0
2023-09-10,48.5,-121.5,5.74E-05,0.001378059
2023-09-11,48.5,-121.5,1.22E-05,0.000293255
2023-09-12,48.5,-121.5,0.004935861,0.118460654
2023-09-13,48.5,-121.5,0.006584575,0.158029788
2023-09-14,48.5,-121.5,0.00E+00,0
2023-09-15,48.5,-121.5,5.94E-05,0.001425743
2023-09-16,48.5,-121.5,0.00E+00,0
2023-09-17,48.5,-121.5,0.00E+00,0
2023-09-18,48.5,-121.5,0.06487653,1.55703672
2023-09-19,48.5,-121.5,0.002411952,0.057886836
2023-09-20,48.5,-121.5,0.795665,19.09596
2023-09-21,48.5,-121.5,0,0
2023-09-22,48.5,-121.5,0.00E+00,0
2023-09-23,48.5,-121.5,0.026669007,0.640056168
2023-09-24,48.5,-121.5,0.2086566,5.0077584
2023-09-25,48.5,-121.5,0.62237024,14.93688576
2023-09-26,48.5,-121.5,0.48384637,11.61231288
2023-09-27,48.5,-121.5,0.43324554,10.39789296
2023-09-28,48.5,-121.5,0.6387239,15.3293736
2023-09-29,48.5,-121.5,0.3428149,8.2275576
2023-09-30,48.5,-121.5,0.00E+00,0
2023-10-01,48.5,-121.5,0.00289311,0.06943464
2023-10-02,48.5,-121.5,0.036620844,0.878900256
2023-10-03,48.5,-121.5,0.12361645,2.9667948
2023-10-04,48.5,-121.5,0.059723657,1.433367768
2023-10-05,48.5,-121.5,0.001527369,0.036656856
2023-10-06,48.5,-121.5,3.76E-05,0.000901222
2023-10-07,48.5,-121.5,0.00E+00,0
2023-10-08,48.5,-121.5,0.00E+00,0
2023-10-09,48.5,-121.5,0.037616048,0.902785152
2023-10-10,48.5,-121.5,0.5948325,14.27598
2023-10-11,48.5,-121.5,0.24405335,5.8572804
2023-10-12,48.5,-121.5,0.000236829,0.005683898
2023-10-13,48.5,-121.5,0.00E+00,0
2023-10-14,48.5,-121.5,0.15842369,3.80216856
2023-10-15,48.5,-121.5,0.071751975,1.7220474
2023-10-16,48.5,-121.5,0.3847643,9.2343432
2023-10-17,48.5,-121.5,0.7629937,18.3118488
2023-10-18,48.5,-121.5,0.26737612,6.41702688
2023-10-19,48.5,-121.5,0.007225275,0.1734066
2023-10-20,48.5,-121.5,0.2684364,6.4424736
2023-10-21,48.5,-121.5,0.00E+00,0
2023-10-22,48.5,-121.5,0.034108758,0.818610192
2023-10-23,48.5,-121.5,0.07126441,1.71034584
2023-10-24,48.5,-121.5,0.06603459,1.58483016
2023-10-25,48.5,-121.5,0.73367816,17.60827584
2023-10-26,48.5,-121.5,0.009828011,0.235872264
2023-10-27,48.5,-121.5,0.006159941,0.147838584
2023-10-28,48.5,-121.5,0.003634294,0.087223056
2023-10-29,48.5,-121.5,1.22E-05,0.000293255
2023-10-30,48.5,-121.5,0.00E+00,0
2023-10-31,48.5,-121.5,4.42E-06,0.000106096